source,country,lang,date,categories,wtp_signals,platform_sentiment,engagement,segment_hints,text_preview,url
appstore,korea,en,2019-07-14,housing,,0.00,20,,So Disappointed that Kakao Bank is only for Koreans... Please think before you make it next time...,https://play.google.com/store/apps/details?id=com.kakaobank.channel
appstore,korea,en,2019-06-23,,,0.00,4,,How to use this app? I tried many times but i cant go in. ㅠㅠ,https://play.google.com/store/apps/details?id=com.kakaobank.channel
appstore,korea,en,2019-06-12,visa|banking,,0.00,36,,Only for Korean Nationals. Foreigners with Korean ARC ID cannot use it. Use regular banking apps.,https://play.google.com/store/apps/details?id=com.kakaobank.channel
appstore,korea,en,2019-04-01,,,0.75,3,,easy to use and very convenient ...,https://play.google.com/store/apps/details?id=com.kakaobank.channel
appstore,korea,en,2019-03-23,,,1.00,1,,maybe im not live in korea.. I can use?,https://play.google.com/store/apps/details?id=com.kakaobank.channel
appstore,korea,en,2019-03-21,,,1.00,10,,JSC my phone ok thank you! ok thank you! thank you,https://play.google.com/store/apps/details?id=com.kakaobank.channel
appstore,korea,en,2019-03-12,,,1.00,26,,"i love it,i just sent money to foreign and reciever got quickly thanks and im saving money as well in it so eassy to use",https://play.google.com/store/apps/details?id=com.kakaobank.channel
appstore,korea,en,2019-02-26,,,0.00,34,,i tried a lot of times but failed .surely this kakao bank is only for koreans..so disappointed.,https://play.google.com/store/apps/details?id=com.kakaobank.channel
appstore,korea,ko,2019-02-17,discrimination,,0.00,43,,"for all foreigners who in Korean and try to use this bank, just report them for discrimination us. i mean korean can use this bank but inly foreigners cant wth???? 이앱을그냥신고해야지. 아니어이가없네요진짜..영어없는것은이해를하지만근데외국인이가입이안되는건말이안되자나요... 안그래도힌국에서6년이라살아왓는데이런자별을또처음이네",https://play.google.com/store/apps/details?id=com.kakaobank.channel
appstore,korea,ko,2019-01-16,,,0.00,13,,아직은 외국인들이 사용 못하는것 같네요 ㅠㅠ,https://play.google.com/store/apps/details?id=com.kakaobank.channel
appstore,korea,ko,2018-12-17,phone_connectivity,,0.00,7,,해외현지통신사 이용중인 재외국민은 본인인증 수단이 없어서 한국에서 만든 카카오뱅크 계좌에 돈이 있어도 아무것도 못하네요ㅡㅡ,https://play.google.com/store/apps/details?id=com.kakaobank.channel
appstore,korea,ko,2018-12-07,discrimination,,0.00,3,,한국에 거주하는 외국인들 사용할수있도록해야지. 가입 안되는 이유도 알려주지 않고 차별아닙니까?,https://play.google.com/store/apps/details?id=com.kakaobank.channel
appstore,korea,ko,2018-11-06,discrimination,,0.00,13,,왜 외국인 신청 못 하는지 궁금하다. 인종 차별주의때문이다?,https://play.google.com/store/apps/details?id=com.kakaobank.channel
appstore,korea,en,2018-09-22,,,0.00,17,,It was the worst apps for those who lives out of Korea,https://play.google.com/store/apps/details?id=com.kakaobank.channel
appstore,korea,en,2018-08-29,,,0.00,1,,Why can't forgeiners register in Kakao Bank????,https://play.google.com/store/apps/details?id=com.kakaobank.channel
